Cases,Deaths,Recovered,Travel_history,Province
12,0,1,Local - Social Contact,Khyber Pakhtunkhwa
3,0,1,Local - Social Contact,Khyber Pakhtunkhwa
2,0,0,Local - Social Contact,Khyber Pakhtunkhwa
2,0,0,Local - Social Contact,Federal Administration Tribal Area
4,0,0,Local - Social Contact,Federal Administration Tribal Area
5,0,0,Local - Social Contact,Khyber Pakhtunkhwa
1,0,0,Local - Social Contact,Khyber Pakhtunkhwa
0,0,48,Iran/Taftan,Khyber Pakhtunkhwa
0,0,1,Local - Social Contact,Khyber Pakhtunkhwa
10,0,0,Local - Social Contact,Azad Jummu Kashmir
35,0,7,Local - Social Contact,Islamabad Capital Territory
0,0,5,Iran/Taftan,Punjab
213,1,0,Tableeghi Jamaat,Punjab
18,0,0,Tableeghi Jamaat,Punjab
366,0,0,Tableeghi Jamaat,Punjab
12,0,0,Jail,Punjab
0,0,18,Local - Social Contact,Sindh
92,1,0,Unknown,Sindh
0,0,69,Iran/Taftan,Sindh
7,0,0,Local - Social Contact,Baluchistan
2,0,0,Local - Social Contact,Gilgit-Baltistan
3,0,0,Local - Social Contact,Khyber Pakhtunkhwa
6,0,0,Local - Social Contact,Khyber Pakhtunkhwa
1,0,0,Local - Social Contact,Khyber Pakhtunkhwa
10,0,0,Local - Social Contact,Khyber Pakhtunkhwa
4,0,0,Local - Social Contact,Khyber Pakhtunkhwa
1,0,0,Local - Social Contact,Khyber Pakhtunkhwa
6,1,0,Local - Social Contact,Khyber Pakhtunkhwa
1,0,0,Local - Social Contact,Khyber Pakhtunkhwa
1,0,0,Local - Social Contact,Khyber Pakhtunkhwa
15,1,0,Local - Social Contact,Khyber Pakhtunkhwa
2,0,0,Local - Social Contact,Khyber Pakhtunkhwa
1,0,0,Local - Social Contact,Khyber Pakhtunkhwa
7,0,0,Local - Social Contact,Khyber Pakhtunkhwa
1,0,0,Local - Social Contact,Federal Administration Tribal Area
5,0,0,Local - Social Contact,Azad Jummu Kashmir
23,0,0,Local - Social Contact,Punjab
1,0,0,Local - Social Contact,Punjab
0,0,1,Local - Social Contact,Punjab
0,0,1,Local - Social Contact,Punjab
1,0,0,Local - Social Contact,Punjab
4,0,0,Local - Social Contact,Punjab
6,0,0,Local - Social Contact,Punjab
0,0,7,Local - Social Contact,Punjab
0,0,1,Local - Social Contact,Punjab
2,0,0,Local - Social Contact,Punjab
17,0,0,Local - Social Contact,Punjab
2,0,0,Local - Social Contact,Punjab
1,0,0,Local - Social Contact,Punjab
8,0,0,Local - Social Contact,Punjab
0,0,4,Local - Social Contact,Punjab
6,0,0,Local - Social Contact,Punjab
2,0,0,Local - Social Contact,Punjab
2,0,0,Local - Social Contact,Punjab
8,0,0,Local - Social Contact,Punjab
2,0,0,Local - Social Contact,Punjab
85,1,9,Local - Social Contact,Sindh
1,0,0,Local - Social Contact,Sindh
1,0,13,Local - Social Contact,Baluchistan
0,0,14,Local - Social Contact,Gilgit-Baltistan
0,0,0,Local - Social Contact,Khyber Pakhtunkhwa
3,0,0,Local - Social Contact,Khyber Pakhtunkhwa
3,0,3,Local - Social Contact,Federal Administration Tribal Area
5,0,0,Local - Social Contact,Khyber Pakhtunkhwa
4,0,1,Local - Social Contact,Khyber Pakhtunkhwa
3,0,0,Local - Social Contact,Khyber Pakhtunkhwa
0,1,0,Tableegi Jamaat,Khyber Pakhtunkhwa
1,0,0,Local - Social Contact,Khyber Pakhtunkhwa
1,0,1,Local - Social Contact,Khyber Pakhtunkhwa
1,0,0,Local - Social Contact,Khyber Pakhtunkhwa
0,0,1,Local - Social Contact,Khyber Pakhtunkhwa
2,0,1,Local - Social Contact,Khyber Pakhtunkhwa
2,1,0,Local - Social Contact,Khyber Pakhtunkhwa
1,0,0,Local - Social Contact,Khyber Pakhtunkhwa
8,0,0,Local - Social Contact,Khyber Pakhtunkhwa
3,0,0,Local - Social Contact,Khyber Pakhtunkhwa
2,1,2,Tableegi Jamaat,Khyber Pakhtunkhwa
0,0,1,Local - Social Contact,Khyber Pakhtunkhwa
0,0,2,Iran/Taftan,Khyber Pakhtunkhwa
0,0,0,Local - Social Contact,Azad Jummu Kashmir
10,0,0,Local - Social Contact,Punjab
1,0,0,Local - Social Contact,Punjab
0,0,5,Local - Social Contact,Punjab
7,0,0,Local - Social Contact,Punjab
1,0,10,Local - Social Contact,Gilgit-Baltistan
0,0,11,Local - Social Contact,Gilgit-Baltistan
1,0,0,Local - Social Contact,Azad Jummu Kashmir
8,0,6,Local - Social Contact,Baluchistan
5,4,1,Local - Social Contact,Khyber Pakhtunkhwa
5,1,0,Local - Social Contact,Khyber Pakhtunkhwa
3,1,0,Local - Social Contact,Khyber Pakhtunkhwa
1,0,4,Local - Social Contact,Khyber Pakhtunkhwa
5,0,0,Local - Social Contact,Khyber Pakhtunkhwa
3,0,0,Local - Social Contact,Khyber Pakhtunkhwa
6,0,0,Local - Social Contact,Khyber Pakhtunkhwa
6,0,0,Local - Social Contact,Khyber Pakhtunkhwa
5,0,0,Local - Social Contact,Khyber Pakhtunkhwa
4,0,0,Local - Social Contact,Khyber Pakhtunkhwa
2,0,2,Local - Social Contact,Khyber Pakhtunkhwa
0,0,1,Local - Social Contact,Khyber Pakhtunkhwa
84,6,0,Local - Social Contact,Sindh
3,0,0,Local - Social Contact,Sindh
17,0,0,Local - Social Contact,Sindh
